,ID,Ort,Umkreis,MaxOrt,Preis,Fläche,Zimmer,Grundstücksfläche,Kategorie,Etagen,Baujahr,Effizienzklasse,Energieträger,Heizungsart
58,2887x5c,berlin,50,max. 15 km,679.000 €,['145.8 m²'],['5 Zi.'],"['382,70 m²']",['Einfamilienhaus'],['3 Geschosse'],['1977'],['F'],['Öl'],['Zentralheizung']
59,28qcx57,berlin,50,max. 15 km,1.190.000 €,['143.29 m²'],['5 Zi.'],['781 m²'],['Villa'],n.a,['2006'],['A+'],['Erdwärme'],['Fußbodenheizung']
60,285j45a,berlin,50,max. 15 km,735.000 €,['110 m²'],['5 Zi.'],['116 m²'],['Reihenmittelhaus'],n.a,n.a,n.a,n.a,n.a
61,276bz57,berlin,50,max. 15 km,469.000 €,['65.84 m²'],['3 Zi.'],['681 m²'],['Einfamilienhaus'],n.a,['1930'],['G'],['Gas'],"['Etagenheizung, offener Kamin']"
62,27yxx5v,berlin,50,max. 15 km,400.400 €,['80 m²'],['3 Zi.'],['715 m²'],['Bungalow'],n.a,['1934'],n.a,['Gas'],['Zentralheizung']
63,27uhu5a,berlin,50,max. 15 km,2.350.000 €,['340 m²'],['10 Zi.'],['946 m²'],['Villa'],n.a,['1922'],n.a,['Gas'],"['Fußbodenheizung, offener Kamin']"
64,27jne5m,berlin,50,max. 15 km,599.000 €,['85 m²'],['4 Zi.'],['568 m²'],['Einfamilienhaus'],n.a,['1962'],n.a,n.a,['Zentralheizung']
65,28xcw5a,berlin,50,max. 15 km,425.000 €,['107 m²'],['4 Zi.'],['206 m²'],['Reihenendhaus'],n.a,['1995'],['D'],['Gas'],['Zentralheizung']
66,28zrg55,berlin,50,max. 20 km,590.000 €,['143 m²'],['4 Zi.'],['545 m²'],['Einfamilienhaus'],n.a,['1998'],n.a,n.a,n.a
67,26j335v,berlin,50,max. 20 km,799.000 €,['172.56 m²'],['5 Zi.'],['215 m²'],['Stadthaus'],['3 Geschosse'],['2023'],['A+'],['Elektro'],"['Fußbodenheizung, Luft-/Wasser-Wärmepumpe']"
68,26b2c5j,berlin,50,max. 20 km,790.000 €,['125 m²'],['5 Zi.'],['273 m²'],['Doppelhaushälfte'],['3 Geschosse'],['2022'],n.a,['Erdwärme'],['Fußbodenheizung']
69,2797j5v,berlin,50,max. 20 km,399.000 €,['99 m²'],['3 Zi.'],"['374,50 m²']",['Mehrfamilienhaus'],n.a,['1935'],['A'],['Öl'],"['Fußbodenheizung, Zentralheizung']"
70,27zv55d,berlin,50,max. 20 km,1.100.000 €,['230 m²'],['6 Zi.'],['739 m²'],['Einfamilienhaus'],['3 Geschosse'],['1965'],['E'],['Öl'],"['Fußbodenheizung, Zentralheizung']"
71,27wbh55,berlin,50,max. 20 km,850.000 €,['175 m²'],['7 Zi.'],['1.003 m²'],['Mehrfamilienhaus'],n.a,['1955'],n.a,['Öl'],"['Fußbodenheizung, offener Kamin']"
72,28amq5b,berlin,50,max. 20 km,590.000 €,['110 m²'],['4.5 Zi.'],['870 m²'],['Einfamilienhaus'],['2 Geschosse'],['1955'],['H'],['Gas'],['Zentralheizung']
73,277z75s,berlin,50,max. 20 km,749.000 €,['215.55 m²'],['5.5 Zi.'],['740 m²'],['Einfamilienhaus'],n.a,['1965'],['F'],['Gas'],['offener Kamin']
74,26gkz57,berlin,50,max. 20 km,600.000 €,['141 m²'],['4.5 Zi.'],['620 m²'],['Einfamilienhaus'],['2 Geschosse'],['2012'],['C'],"['Gas, Solar']","['offener Kamin, Zentralheizung']"
75,27xbr5j,berlin,50,max. 20 km,550.000 €,['126 m²'],['4 Zi.'],['173 m²'],['Reihenmittelhaus'],n.a,['2014'],['B'],['Gas'],['Fußbodenheizung']
76,2899452,berlin,50,max. 20 km,375.000 €,['65 m²'],['3 Zi.'],['850 m²'],n.a,n.a,['1944'],n.a,['Gas'],['Zentralheizung']
77,25mw85k,berlin,50,max. 20 km,650.000 €,['157 m²'],['5 Zi.'],['1.082 m²'],['Mehrfamilienhaus'],['2 Geschosse'],['1898'],['H'],['Gas'],['Etagenheizung']
78,27j9t52,berlin,50,max. 20 km,890.000 €,['164 m²'],['3 Zi.'],['1.446 m²'],['Einfamilienhaus'],n.a,['1996'],['C'],['Gas'],"['Fußbodenheizung, offener Kamin']"
79,2834t5b,berlin,50,max. 30 km,750.000 €,['130 m²'],['4 Zi.'],['410 m²'],['Doppelhaushälfte'],['2 Geschosse'],['2008'],n.a,['Gas'],['Zentralheizung']
80,28zz753,berlin,50,max. 30 km,1.198.000 €,['163 m²'],['4 Zi.'],['1.152 m²'],['Einfamilienhaus'],n.a,['1993'],['D'],['Gas'],"['Fußbodenheizung, offener Kamin']"
81,27c8n56,berlin,50,max. 30 km,395.000 €,['71 m²'],['3 Zi.'],['1.150 m²'],['Einfamilienhaus'],n.a,['1975'],['G'],['Gas'],['Zentralheizung']
82,27ewh5w,berlin,50,max. 30 km,585.000 €,['133 m²'],['4 Zi.'],['662 m²'],['Doppelhaushälfte'],['2 Geschosse'],['2023'],n.a,n.a,"['Fußbodenheizung, Luft-/Wasser-Wärmepumpe']"
83,28n3q5a,berlin,50,max. 30 km,1.280.000 €,['256.21 m²'],['11 Zi.'],['765 m²'],['Mehrfamilienhaus'],n.a,['1998'],['D'],['Gas'],"['Fußbodenheizung, Zentralheizung']"
84,279b75n,berlin,50,max. 30 km,850.000 €,['180 m²'],['6 Zi.'],['718 m²'],['Einfamilienhaus'],n.a,['2017'],['D'],['Gas'],"['Fußbodenheizung, offener Kamin']"
85,28xqn5b,berlin,50,max. 30 km,995.000 €,['164 m²'],['5 Zi.'],['438 m²'],['Doppelhaushälfte'],n.a,['2022'],['A+'],n.a,"['Fußbodenheizung, Luft-/Wasser-Wärmepumpe']"
86,27hrm59,berlin,50,max. 30 km,695.000 €,['115 m²'],['4 Zi.'],['730 m²'],['Doppelhaushälfte'],n.a,['2022'],['A'],n.a,"['Fußbodenheizung, Luft-/Wasser-Wärmepumpe']"
87,282zd5c,berlin,50,max. 30 km,1.250.000 €,['276 m²'],['9 Zi.'],['857 m²'],['Villa'],n.a,['1997'],n.a,"['Gas, Solar']","['Fußbodenheizung, offener Kamin, Zentralheizung']"
88,26qt75s,berlin,50,max. 30 km,850.000 €,['215 m²'],['6 Zi.'],['1.236 m²'],['Einfamilienhaus'],['2 Geschosse'],['2003'],n.a,['Gas'],"['Fußbodenheizung, Zentralheizung']"
89,27ytn5f,berlin,50,max. 30 km,610.000 €,['109.8 m²'],['5 Zi.'],['858 m²'],n.a,['2 Geschosse'],['1937'],n.a,['Öl'],['Zentralheizung']
90,27ld25w,berlin,50,max. 30 km,630.000 €,['119.21 m²'],['4 Zi.'],['558 m²'],['Einfamilienhaus'],n.a,['2012'],n.a,['Gas'],['Zentralheizung']
91,28bu75a,berlin,50,max. 30 km,400.000 €,['100 m²'],['3 Zi.'],['1.130 m²'],['Einfamilienhaus'],n.a,['1985'],['D'],['Öl'],['Zentralheizung']
92,28pz456,berlin,50,max. 30 km,849.000 €,['200 m²'],['7 Zi.'],['820 m²'],['Einfamilienhaus'],n.a,['2008'],['B'],n.a,"['Fußbodenheizung, offener Kamin']"
93,263kh5h,berlin,50,max. 30 km,795.000 €,['104 m²'],['4 Zi.'],['1.129 m²'],['Einfamilienhaus'],n.a,['2000'],['D'],['Gas'],['Fußbodenheizung']
