,ID,Ort,Umkreis,MaxOrt,Preis,Fläche,Zimmer,Grundstücksfläche,Kategorie,Etagen,Baujahr,Effizienzklasse,Energieträger,Heizungsart,Stand
1516,27mxj59,frankfurt-am-main,50,max. 15 km,2.445.500 €,['213 m²'],['8 Zi.'],['880 m²'],n.a,n.a,n.a,n.a,n.a,n.a,2023-01-04
1517,27syj59,frankfurt-am-main,50,max. 15 km,1.350.000 €,['140 m²'],['5 Zi.'],['440 m²'],['Doppelhaushälfte'],n.a,n.a,n.a,n.a,n.a,2023-01-04
1518,28dj25a,frankfurt-am-main,50,max. 15 km,1.530.000 €,['124 m²'],['4 Zi.'],['570 m²'],['Doppelhaushälfte'],n.a,['1954'],['F'],['Gas'],"['offener Kamin, Zentralheizung']",2023-01-04
1519,28emb5e,frankfurt-am-main,50,max. 15 km,1.250.000 €,['173 m²'],['5 Zi.'],['920 m²'],['Villa'],n.a,n.a,['A'],n.a,n.a,2023-01-04
1520,275cp5t,frankfurt-am-main,50,max. 15 km,1.150.000 €,['143 m²'],['5 Zi.'],['920 m²'],['Villa'],n.a,n.a,['A'],n.a,n.a,2023-01-04
1521,28dmb5e,frankfurt-am-main,50,max. 15 km,796.000 €,['113 m²'],['5 Zi.'],['460 m²'],['Doppelhaushälfte'],n.a,n.a,['A'],n.a,n.a,2023-01-04
1522,28eba54,frankfurt-am-main,50,max. 15 km,885.000 €,['155 m²'],['5 Zi.'],['460 m²'],['Doppelhaushälfte'],n.a,n.a,['A'],n.a,n.a,2023-01-04
1523,285de5a,frankfurt-am-main,50,max. 15 km,809.000 €,['164 m²'],['6 Zi.'],['300 m²'],['Mehrfamilienhaus'],n.a,n.a,n.a,['Gas'],['Zentralheizung'],2023-01-04
1524,288xz5b,frankfurt-am-main,50,max. 15 km,1.360.000 €,['184 m²'],['5 Zi.'],['462 m²'],['Doppelhaushälfte'],n.a,['1991'],['E'],['Öl'],"['Fußbodenheizung, offener Kamin, Zentralheizung']",2023-01-04
1525,287wz5b,frankfurt-am-main,50,max. 15 km,998.000 €,['124 m²'],['5 Zi.'],['658 m²'],['Einfamilienhaus'],n.a,['1973'],['F'],['Gas'],"['offener Kamin, Zentralheizung']",2023-01-04
1526,2433h5x,frankfurt-am-main,50,max. 15 km,11.900.000 €,['1203.57 m²'],['11 Zi.'],['4.244 m²'],['Villa'],n.a,['2008'],['A+'],['Erdwärme'],['Zentralheizung'],2023-01-04
1527,27zb75m,frankfurt-am-main,50,max. 15 km,720.000 €,['150 m²'],['5 Zi.'],['176 m²'],n.a,n.a,['1975'],['D'],['Gas'],n.a,2023-01-04
1528,28kfh5f,frankfurt-am-main,50,max. 15 km,459.000 €,['150 m²'],['6 Zi.'],['443 m²'],['Mehrfamilienhaus'],n.a,['1956'],['F'],['Öl'],['Zentralheizung'],2023-01-04
1529,278br57,frankfurt-am-main,50,max. 15 km,590.000 €,['238 m²'],['9 Zi.'],['348 m²'],['Mehrfamilienhaus'],n.a,['1977'],['F'],['Gas'],['Zentralheizung'],2023-01-04
1530,27mad54,frankfurt-am-main,50,max. 15 km,1.370.000 €,['184.21 m²'],['5 Zi.'],['570 m²'],['Bungalow'],['1 Geschoss'],['1970'],['F'],['Gas'],['Zentralheizung'],2023-01-04
1531,28lkm5a,frankfurt-am-main,50,max. 15 km,1.200.000 €,['753 m²'],['1 Zi.'],['1.198 m²'],n.a,n.a,['1928'],['D'],n.a,n.a,2023-01-04
1532,27gbp5g,frankfurt-am-main,50,max. 15 km,3.290.000 €,['330 m²'],['10 Zi.'],['1.200 m²'],['Villa'],['3 Geschosse'],['1901'],n.a,['Gas'],['Zentralheizung'],2023-01-04
1533,28eu955,frankfurt-am-main,50,max. 15 km,598.000 €,['155 m²'],['6 Zi.'],['392 m²'],['Doppelhaushälfte'],n.a,['1971'],['G'],['Öl'],['Zentralheizung'],2023-01-04
1534,28cp254,frankfurt-am-main,50,max. 15 km,665.000 €,['170 m²'],['6 Zi.'],['446 m²'],['Mehrfamilienhaus'],['2 Geschosse'],['1964'],n.a,['Gas'],['Zentralheizung'],2023-01-04
1535,286dl5f,frankfurt-am-main,50,max. 15 km,829.000 €,['141 m²'],['4 Zi.'],['180 m²'],['Doppelhaushälfte'],n.a,['2006'],['F'],['Öl'],"['offener Kamin, Zentralheizung']",2023-01-04
1536,28a7v5e,frankfurt-am-main,50,max. 15 km,350.000 €,['69.4 m²'],['4 Zi.'],['131 m²'],n.a,['1 Geschoss'],['1934'],['H'],['Gas'],n.a,2023-01-04
1537,27vd95u,frankfurt-am-main,50,max. 15 km,770.000 €,['140 m²'],['5 Zi.'],['415 m²'],['Einfamilienhaus'],n.a,n.a,n.a,n.a,n.a,2023-01-04
1538,274d65u,frankfurt-am-main,50,max. 15 km,980.000 €,['213 m²'],['8 Zi.'],['415 m²'],['Mehrfamilienhaus'],n.a,n.a,n.a,n.a,n.a,2023-01-04
1539,27kza5a,frankfurt-am-main,50,max. 15 km,895.000 €,['124.4 m²'],['5 Zi.'],['623 m²'],['Reihenendhaus'],['2 Geschosse'],['1967'],['C'],['Gas'],['Zentralheizung'],2023-01-04
1540,28pl65d,frankfurt-am-main,50,max. 15 km,2.950.000 €,['450 m²'],['9 Zi.'],['900 m²'],['Villa'],n.a,n.a,n.a,['Gas'],['Zentralheizung'],2023-01-04
1541,28phh5c,frankfurt-am-main,50,max. 15 km,449.000 €,['119.5 m²'],['6 Zi.'],['262 m²'],['Doppelhaushälfte'],n.a,['1936'],['H'],['Gas'],['Zentralheizung'],2023-01-04
1542,26ssb5c,frankfurt-am-main,50,max. 15 km,665.000 €,['160 m²'],['7 Zi.'],['336 m²'],['Mehrfamilienhaus'],n.a,n.a,['H'],['Gas'],['Zentralheizung'],2023-01-04
1543,28gwm5a,frankfurt-am-main,50,max. 15 km,479.000 €,['142 m²'],['6 Zi.'],['133 m²'],['Einfamilienhaus'],n.a,['1932'],['F'],['Öl'],['Zentralheizung'],2023-01-04
1544,27ull5s,frankfurt-am-main,50,max. 15 km,674.000 €,['148.83 m²'],['6 Zi.'],['282 m²'],['Doppelhaushälfte'],n.a,['1981'],n.a,['Gas'],"['Fußbodenheizung, Zentralheizung']",2023-01-04
1545,288ps5e,frankfurt-am-main,50,max. 15 km,699.000 €,['230 m²'],[],['230 m²'],['Mehrfamilienhaus'],n.a,['1963'],n.a,['Gas'],['Zentralheizung'],2023-01-04
1546,28v2252,frankfurt-am-main,50,max. 15 km,495.000 €,['109 m²'],['6 Zi.'],['298 m²'],['Reihenmittelhaus'],n.a,['1966'],['F'],['Öl'],['Zentralheizung'],2023-01-04
1547,273x85l,frankfurt-am-main,50,max. 15 km,990.000 €,['150 m²'],['5 Zi.'],['323 m²'],['Reihenmittelhaus'],n.a,['1982'],['D'],['Gas'],"['Fußbodenheizung, offener Kamin']",2023-01-04
1548,27agy5k,frankfurt-am-main,50,max. 15 km,875.000 €,['145 m²'],['5 Zi.'],['314 m²'],['Reihenendhaus'],n.a,['1982'],['G'],['Gas'],"['Fußbodenheizung, offener Kamin']",2023-01-04
1549,26fv85u,frankfurt-am-main,50,max. 15 km,475.000 €,['179 m²'],['8 Zi.'],['1.007 m²'],['Einfamilienhaus'],n.a,['1955'],n.a,['Gas'],n.a,2023-01-04
1550,28jqj52,frankfurt-am-main,50,max. 15 km,1.050.000 €,['140 m²'],['7 Zi.'],['774 m²'],['Einfamilienhaus'],n.a,['1963'],['H'],['Öl'],['Zentralheizung'],2023-01-04
1551,2722m52,frankfurt-am-main,50,max. 15 km,1.090.000 €,['197 m²'],['6 Zi.'],['758 m²'],['Einfamilienhaus'],n.a,['1976'],['E'],['Gas'],"['offener Kamin, Zentralheizung']",2023-01-04
1552,28qel5a,frankfurt-am-main,50,max. 15 km,4.980.000 €,['380 m²'],['8 Zi.'],['899 m²'],['Villa'],n.a,['1993'],['C'],['Gas'],"['Fußbodenheizung, offener Kamin']",2023-01-04
1553,28b6x54,frankfurt-am-main,50,max. 15 km,985.000 €,['196 m²'],['8 Zi.'],['616 m²'],['Einfamilienhaus'],n.a,['1958'],['F'],['Öl'],['Zentralheizung'],2023-01-04
1554,27wuc5y,frankfurt-am-main,50,max. 15 km,837.000 €,['183 m²'],['8 Zi.'],['549 m²'],['Mehrfamilienhaus'],n.a,['1955'],['H'],['Gas'],['Zentralheizung'],2023-01-04
1555,28jdh54,frankfurt-am-main,50,max. 15 km,599.000 €,['145.16 m²'],['4.5 Zi.'],['384 m²'],['Bungalow'],n.a,['1974'],['F'],n.a,['Zentralheizung'],2023-01-04
