,ID,Ort,Umkreis,MaxOrt,Preis,Fläche,Zimmer,Grundstücksfläche,Kategorie,Etagen,Baujahr,Effizienzklasse,Energieträger,Heizungsart
6168,28nb35c,stuttgart,50,max. 50 km,589.000 €,['132 m²'],['4 Zi.'],['693 m²'],n.a,n.a,n.a,n.a,n.a,['Fußbodenheizung']
6169,289nz5b,stuttgart,50,max. 50 km,730.000 €,['131 m²'],['4 Zi.'],['693 m²'],n.a,n.a,n.a,n.a,n.a,['Fußbodenheizung']
6170,22gsx54,stuttgart,50,max. 50 km,639.000 €,['116 m²'],['6 Zi.'],['1.901 m²'],['Mehrfamilienhaus'],['2 Geschosse'],['1911'],['G'],['Elektro'],['Ofen']
6171,25c7x5e,stuttgart,50,max. 50 km,259.000 €,['152 m²'],[],['165 m²'],['Einfamilienhaus'],n.a,['1786'],n.a,['Öl'],['Zentralheizung']
6172,23s2h56,stuttgart,50,max. 50 km,699.000 €,['151.6 m²'],['7 Zi.'],['800 m²'],['Mehrfamilienhaus'],n.a,['1961'],['D'],['Elektro'],['Ofen']
6173,27pyg5d,stuttgart,50,max. 50 km,370.000 €,['123 m²'],['6 Zi.'],['178 m²'],['Reihenmittelhaus'],['2 Geschosse'],['1973'],['E'],['Gas'],['Zentralheizung']
6174,278vy5z,stuttgart,50,max. 50 km,1.499.000 €,['261.13 m²'],['8 Zi.'],['489 m²'],n.a,['2 Geschosse'],['1973'],['A'],"['Öl, Solar']","['offener Kamin, Zentralheizung']"
6175,23mrj5m,stuttgart,50,max. 50 km,245.000 €,['203 m²'],['8 Zi.'],['912 m²'],['Doppelhaushälfte'],['3 Geschosse'],['1900'],['G'],n.a,n.a
6176,27fgp5w,stuttgart,50,max. 50 km,779.000 €,['254 m²'],['6 Zi.'],['523 m²'],['Einfamilienhaus'],['3 Geschosse'],['1936'],['C'],['Pellets'],"['Fußbodenheizung, Zentralheizung']"
6177,27e6p5z,stuttgart,50,max. 50 km,899.000 €,['175.47 m²'],['5.5 Zi.'],['500 m²'],['Einfamilienhaus'],['2 Geschosse'],['2021'],['A+'],['Elektro'],"['Fußbodenheizung, Luft-/Wasser-Wärmepumpe']"
6178,282dp56,stuttgart,50,max. 50 km,525.000 €,['130 m²'],['5 Zi.'],['282 m²'],['Doppelhaushälfte'],['1 Geschoss'],['2010'],['B'],"['Pellets, Solar']","['Fußbodenheizung, Zentralheizung']"
6179,28yjq55,stuttgart,50,max. 50 km,330.000 €,['108 m²'],['4 Zi.'],['391 m²'],['Einfamilienhaus'],n.a,['1935'],['E'],['Öl'],['Zentralheizung']
6180,27u9j5r,stuttgart,50,max. 50 km,378.000 €,['152 m²'],['7 Zi.'],['333 m²'],['Einfamilienhaus'],['2 Geschosse'],['1937'],['G'],"['Holz, Öl']","['Ofen, Zentralheizung']"
6181,244fx5a,stuttgart,50,max. 50 km,199.000 €,['109 m²'],['4.5 Zi.'],['66 m²'],['Einfamilienhaus'],['3 Geschosse'],['1930'],['H'],['Gas'],['Etagenheizung']
6182,27r6e5w,stuttgart,50,max. 50 km,450.000 €,['126 m²'],['6 Zi.'],['720 m²'],['Einfamilienhaus'],['2 Geschosse'],['1962'],['G'],['Öl'],['Zentralheizung']
6183,27mpq5z,stuttgart,50,max. 50 km,1.680.000 €,['245.25 m²'],['5.5 Zi.'],['105 m²'],['Mehrfamilienhaus'],['4 Geschosse'],['1974'],['G'],"['Gas, Holz']","['Fußbodenheizung, offener Kamin, Zentralheizung']"
